,date,stock_name,open,high,low,close,volume
3192,2016-02-04 17:00:00,GS,130.7495,130.7829,130.7495,130.7829,1000
3193,2016-02-04 16:00:00,GS,130.7829,130.7829,130.2762,130.3636,350080
3194,2016-02-04 15:00:00,GS,130.0558,130.7996,129.7299,130.7244,733509
3195,2016-02-04 14:00:00,GS,129.7382,130.131,129.2869,130.0725,268372
3196,2016-02-04 13:00:00,GS,129.7717,130.6157,129.5042,129.7215,445954
3197,2016-02-04 12:00:00,GS,129.7549,130.808,129.3371,129.8218,319783
3198,2016-02-04 11:00:00,GS,131.861,131.9613,129.3204,129.7466,463092
3199,2016-02-04 10:00:00,GS,130.6575,132.003,129.7048,131.8526,719049
3200,2016-02-04 09:00:00,GS,126.2449,130.7829,126.2449,130.691,680403
3201,2016-02-04 08:00:00,GS,126.997,127.5988,126.2365,126.763,7106
3202,2016-02-04 07:00:00,GS,127.4483,127.4483,127.4483,127.4483,100
3203,2016-02-03 17:00:00,GS,127.5988,127.5988,127.5988,127.5988,900
3204,2016-02-03 16:00:00,GS,127.5988,127.5988,125.8574,127.5988,110526
3205,2016-02-03 15:00:00,GS,127.7826,128.5682,127.0723,127.5904,771680
3206,2016-02-03 14:00:00,GS,125.3757,128.1336,125.359,127.7408,703336
3207,2016-02-03 13:00:00,GS,126.0861,126.3034,124.9161,125.3674,389421
3208,2016-02-03 12:00:00,GS,125.5582,126.1362,125.0348,126.1362,363003
3209,2016-02-03 11:00:00,GS,124.9997,126.1864,124.0386,125.476,920777
3210,2016-02-03 10:00:00,GS,125.1584,125.2754,122.8602,124.9997,1303599
3211,2016-02-03 09:00:00,GS,127.8578,127.8578,125.0164,125.2169,573594
3212,2016-02-03 08:00:00,GS,127.0306,127.8662,127.0305,127.8662,5583
3213,2016-02-03 07:00:00,GS,127.0305,127.0305,127.0305,127.0305,110
3214,2016-02-02 19:00:00,GS,126.6126,126.7547,126.4622,126.4622,1230
3215,2016-02-02 18:00:00,GS,126.7798,126.7798,126.7714,126.7714,570
3216,2016-02-02 17:00:00,GS,127.0138,127.0138,126.529,126.529,3588
3217,2016-02-02 16:00:00,GS,126.8466,128.9109,126.7798,128.9109,329540
3218,2016-02-02 15:00:00,GS,126.6648,127.2603,125.8688,126.855,1301657
3219,2016-02-02 14:00:00,GS,126.1947,126.8215,125.4886,126.6786,877568
3220,2016-02-02 13:00:00,GS,127.465,127.8746,126.0109,126.2031,718987
3221,2016-02-02 12:00:00,GS,128.3258,128.3927,127.2812,127.4316,467060
3222,2016-02-02 11:00:00,GS,128.1086,129.2116,127.8746,128.3342,582692
3223,2016-02-02 10:00:00,GS,129.4541,129.6964,127.9414,128.0928,620640
3224,2016-02-02 09:00:00,GS,131.7523,131.7523,128.7604,129.4708,558556
3225,2016-02-02 08:00:00,GS,132.0448,132.5379,131.7523,131.7523,2089
3226,2016-02-01 19:00:00,GS,133.0561,133.0561,133.0477,133.0477,200
3227,2016-02-01 18:00:00,GS,133.0561,133.0561,132.9641,132.9641,500
3228,2016-02-01 17:00:00,GS,133.0561,133.0561,133.0477,133.0477,400
3229,2016-02-01 16:00:00,GS,133.4238,133.4238,133.0477,133.0477,125181
3230,2016-02-01 15:00:00,GS,133.3402,134.1759,133.3068,133.3068,527102
3231,2016-02-01 14:00:00,GS,132.9391,133.4572,132.5713,133.3402,290614
3232,2016-02-01 13:00:00,GS,132.5296,133.1271,132.4209,132.9307,261138
3233,2016-02-01 12:00:00,GS,133.841,133.9336,132.4878,132.5003,244535
3234,2016-02-01 11:00:00,GS,133.6829,134.1843,133.5458,133.8166,405160
3235,2016-02-01 10:00:00,GS,133.6996,134.0255,133.1313,133.7079,441671
3236,2016-02-01 09:00:00,GS,134.3013,134.552,133.499,133.733,278520
3237,2016-02-01 08:00:00,GS,133.7164,134.1341,133.7163,134.1341,1803
3238,2016-03-31 19:00:00,GS,131.7795,131.7795,131.7795,131.7795,300
3239,2016-03-31 18:00:00,GS,131.7795,132.1152,131.7795,132.1068,900
3240,2016-03-31 17:00:00,GS,131.7795,131.7795,131.7711,131.7711,200
3241,2016-03-31 16:00:00,GS,131.7627,131.7853,131.7627,131.7853,286297
3242,2016-03-31 15:00:00,GS,131.7123,132.1236,131.6955,131.7627,765225
3243,2016-03-31 14:00:00,GS,132.0229,132.0229,131.2507,131.7165,336482
3244,2016-03-31 13:00:00,GS,132.132,132.1824,131.897,132.0481,227436
3245,2016-03-31 12:00:00,GS,131.9809,132.1572,131.855,132.1572,201983
3246,2016-03-31 11:00:00,GS,131.536,132.1236,131.5109,131.9893,256422
3247,2016-03-31 10:00:00,GS,131.1751,132.0732,131.066,131.5948,268276
3248,2016-03-31 09:00:00,GS,131.1919,131.6368,130.9905,131.2086,238126
3249,2016-03-30 17:00:00,GS,130.5036,130.5036,130.5036,130.5036,300
3250,2016-03-30 16:00:00,GS,131.3598,131.9772,131.2095,131.3598,155647
3251,2016-03-30 15:00:00,GS,130.789,131.3682,130.7638,131.3598,674722
3252,2016-03-30 14:00:00,GS,130.6002,130.9401,130.5036,130.7932,274349
3253,2016-03-30 13:00:00,GS,130.6295,130.7387,130.0101,130.5876,324917
3254,2016-03-30 12:00:00,GS,131.301,131.6452,130.5624,130.6253,300521
3255,2016-03-30 11:00:00,GS,131.5254,131.7711,130.8897,131.343,273757
3256,2016-03-30 10:00:00,GS,131.9977,132.409,131.4353,131.5109,428449
3257,2016-03-30 09:00:00,GS,130.9149,132.6377,130.6381,131.9725,303991
3258,2016-03-30 08:00:00,GS,130.9653,131.5948,130.789,131.4353,1800
3259,2016-03-29 19:00:00,GS,130.2266,130.2266,130.2266,130.2266,130
3260,2016-03-29 17:00:00,GS,130.4365,130.8646,130.4365,130.8646,900
3261,2016-03-29 16:00:00,GS,130.1259,130.1259,129.1302,130.1007,154974
3262,2016-03-29 15:00:00,GS,130.0252,130.3945,129.9077,130.2015,491865
3263,2016-03-29 14:00:00,GS,129.6475,130.277,129.5803,130.0252,318721
3264,2016-03-29 13:00:00,GS,129.3369,129.6643,129.0935,129.6223,261057
3265,2016-03-29 12:00:00,GS,128.422,129.5635,128.3717,129.295,325830
3266,2016-03-29 11:00:00,GS,128.0695,128.7662,127.8429,128.4346,298490
3267,2016-03-29 10:00:00,GS,128.3717,128.6403,127.9016,128.0359,322611
3268,2016-03-29 09:00:00,GS,128.5563,128.8417,127.163,128.2625,296010
3269,2016-03-29 08:00:00,GS,128.8753,128.8753,128.6067,128.6067,720
3270,2016-03-28 16:00:00,GS,129.1187,129.1271,128.8442,129.1271,190713
3271,2016-03-28 15:00:00,GS,128.8837,129.295,128.8082,129.1942,581133
3272,2016-03-28 14:00:00,GS,129.3831,129.6559,128.7829,128.8795,198293
3273,2016-03-28 13:00:00,GS,129.3117,129.4544,129.1439,129.3621,126862
3274,2016-03-28 12:00:00,GS,128.9424,129.4964,128.6067,129.2866,194060
3275,2016-03-28 11:00:00,GS,129.0767,129.1187,128.5395,128.9424,220249
3276,2016-03-28 10:00:00,GS,128.6487,129.7986,128.6319,129.0432,281004
3277,2016-03-28 09:00:00,GS,128.5395,129.1774,127.9016,128.652,258757
3278,2016-03-28 08:00:00,GS,128.9676,128.9676,128.8921,128.8921,550
3279,2016-03-24 16:00:00,GS,128.422,128.422,127.3152,128.3381,191806
3280,2016-03-24 15:00:00,GS,127.8513,128.4556,127.7757,128.4304,680066
3281,2016-03-24 14:00:00,GS,127.4316,127.9268,127.1966,127.8471,277300
3282,2016-03-24 13:00:00,GS,127.1126,127.4568,127.079,127.4232,283657
3283,2016-03-24 12:00:00,GS,127.0706,127.5659,126.7181,127.121,196161
3284,2016-03-24 11:00:00,GS,126.9364,127.2217,126.6325,127.0707,313883
3285,2016-03-24 10:00:00,GS,127.1042,127.2469,126.0131,126.9112,671399
3286,2016-03-24 09:00:00,GS,128.3213,128.3213,126.416,127.0874,688100
3287,2016-03-24 08:00:00,GS,128.5983,128.7578,128.4052,128.4052,1900
3288,2016-03-23 18:00:00,GS,129.3873,129.3873,129.3873,129.3873,500
3289,2016-03-23 17:00:00,GS,129.4712,129.4712,129.4712,129.4712,100
3290,2016-03-23 16:00:00,GS,129.3285,129.6823,129.2614,129.4712,212734
3291,2016-03-23 15:00:00,GS,129.1439,129.5384,129.0851,129.2656,638752
3292,2016-03-23 14:00:00,GS,129.7566,130.0336,128.9172,129.1271,342877
3293,2016-03-23 13:00:00,GS,129.9413,130.2015,129.4796,129.7398,311384
3294,2016-03-23 12:00:00,GS,129.6979,130.319,129.5384,129.9329,317980
3295,2016-03-23 11:00:00,GS,129.8405,130.1427,129.3453,129.6811,426537
3296,2016-03-23 10:00:00,GS,129.6307,130.5624,129.4964,129.8406,736451
3297,2016-03-23 09:00:00,GS,129.3957,129.8657,129.2362,129.5971,241640
3298,2016-03-22 17:00:00,GS,129.5132,129.5132,129.5132,129.5132,100
3299,2016-03-22 16:00:00,GS,129.4293,129.9476,129.4293,129.4293,233275
3300,2016-03-22 15:00:00,GS,128.9424,129.5552,128.7242,129.5132,783965
3301,2016-03-22 14:00:00,GS,129.53,129.7482,128.9592,128.9592,332449
3302,2016-03-22 13:00:00,GS,129.8657,129.8993,129.4335,129.5299,234166
3303,2016-03-22 12:00:00,GS,129.3117,130.1175,129.295,129.8825,257818
3304,2016-03-22 11:00:00,GS,129.1858,129.6643,129.0985,129.3201,331203
3305,2016-03-22 10:00:00,GS,130.1553,130.3232,129.1313,129.2194,514696
3306,2016-03-22 09:00:00,GS,130.6044,130.6044,129.4125,130.2266,351631
3307,2016-03-22 08:00:00,GS,130.5288,130.5288,130.5288,130.5288,501
3308,2016-03-21 17:00:00,GS,131.0828,131.108,131.0828,131.0828,1820
3309,2016-03-21 16:00:00,GS,131.1835,131.1835,131.0828,131.0828,1382828
3310,2016-03-21 15:00:00,GS,131.5444,131.6369,130.9905,131.2003,723362
3311,2016-03-21 14:00:00,GS,131.2003,131.7039,131.1332,131.5528,201704
3312,2016-03-21 13:00:00,GS,131.1583,131.6116,131.066,131.1751,164709
3313,2016-03-21 12:00:00,GS,131.108,131.343,130.7303,131.1583,188454
3314,2016-03-21 11:00:00,GS,131.8802,132.1572,131.1164,131.1164,307453
3315,2016-03-21 10:00:00,GS,132.3586,132.5013,131.62,131.897,459523
3316,2016-03-21 09:00:00,GS,131.9809,133.3742,131.7963,132.3754,506223
3317,2016-03-21 08:00:00,GS,132.367,132.3754,131.7795,132.0145,1400
3318,2016-03-21 07:00:00,GS,132.2327,132.2327,132.2327,132.2327,100
3319,2016-03-21 05:00:00,GS,132.2327,132.2327,132.2327,132.2327,200
3320,2016-03-21 04:00:00,GS,132.3083,132.3083,132.3083,132.3083,500
3321,2016-03-18 17:00:00,GS,132.2411,132.2411,132.1991,132.1991,200
3322,2016-03-18 16:00:00,GS,132.2831,132.2852,131.542,132.2411,1115568
3323,2016-03-18 15:00:00,GS,131.5402,132.7699,131.536,132.3167,1542699
3324,2016-03-18 14:00:00,GS,131.7459,131.964,131.5319,131.5612,421589
3325,2016-03-18 13:00:00,GS,131.8382,131.8416,131.4773,131.7543,408657
3326,2016-03-18 12:00:00,GS,131.7123,131.9305,131.536,131.8466,317921
3327,2016-03-18 11:00:00,GS,131.9473,132.116,131.4018,131.7165,592649
3328,2016-03-18 10:00:00,GS,131.385,132.4415,131.2507,131.9641,964826
3329,2016-03-18 09:00:00,GS,129.018,131.4437,128.934,131.4101,1484890
3330,2016-03-18 08:00:00,GS,128.506,128.6654,128.506,128.6654,300
3331,2016-03-17 18:00:00,GS,128.3717,128.6235,128.3717,128.6235,736
3332,2016-03-17 17:00:00,GS,128.6487,128.657,128.3717,128.3717,3600
3333,2016-03-17 16:00:00,GS,128.2625,128.3465,128.2625,128.3465,1006501
3334,2016-03-17 15:00:00,GS,128.8753,129.1271,128.2122,128.3213,910989
3335,2016-03-17 14:00:00,GS,128.7284,129.2412,128.6151,128.8921,368573
3336,2016-03-17 13:00:00,GS,127.7002,128.7235,127.4148,128.7235,307804
3337,2016-03-17 12:00:00,GS,126.6636,127.8177,126.3656,127.7421,262065
3338,2016-03-17 11:00:00,GS,126.9112,126.9615,126.3236,126.6258,239695
3339,2016-03-17 10:00:00,GS,125.627,126.9196,125.3248,126.8692,393075
3340,2016-03-17 09:00:00,GS,125.8452,126.5083,124.8547,125.6689,397604
3341,2016-03-17 08:00:00,GS,125.8116,125.862,125.5011,125.7025,4160
3342,2016-03-17 07:00:00,GS,125.543,125.543,125.543,125.543,400
3343,2016-03-17 05:00:00,GS,126.5083,126.5083,126.5083,126.5083,400
3344,2016-03-16 19:00:00,GS,126.3488,126.3488,126.3488,126.3488,100
3345,2016-03-16 18:00:00,GS,126.4495,126.4495,126.3152,126.3152,2265
3346,2016-03-16 17:00:00,GS,126.4495,126.4495,126.4495,126.4495,600
3347,2016-03-16 16:00:00,GS,126.3572,126.4663,126.3572,126.4495,862525
3348,2016-03-16 15:00:00,GS,126.4579,127.2553,126.3824,126.4999,764632
3349,2016-03-16 14:00:00,GS,126.9364,127.6162,125.6605,126.4705,889646
3350,2016-03-16 13:00:00,GS,127.1546,127.2385,126.7265,126.8692,213203
3351,2016-03-16 12:00:00,GS,127.1548,127.2805,126.8021,127.1546,197525
3352,2016-03-16 11:00:00,GS,128.0611,128.281,127.0707,127.163,190063
3353,2016-03-16 10:00:00,GS,127.4987,128.2374,126.6678,128.0695,383026
3354,2016-03-16 09:00:00,GS,126.5838,128.2961,126.5838,127.4652,292896
3355,2016-03-16 08:00:00,GS,126.7937,126.7937,126.6174,126.6174,1600
3356,2016-03-16 07:00:00,GS,127.0623,127.079,127.0623,127.079,900
3357,2016-03-15 17:00:00,GS,127.5827,127.9184,127.5827,127.6666,1600
3358,2016-03-15 16:00:00,GS,127.6078,127.6498,127.4504,127.4504,855508
3359,2016-03-15 15:00:00,GS,127.7489,128.1282,127.44,127.6498,709870
3360,2016-03-15 14:00:00,GS,127.6834,127.9268,127.3476,127.7421,231643
3361,2016-03-15 13:00:00,GS,126.9196,127.6921,126.8692,127.6414,226278
