,date,returns,rewards,portfolio_values
258,2024-04-09,0.004348397254943848,-412.87663820693047,118748.2109375
259,2024-04-10,-0.006873071193695068,-415.76795390978174,117932.046875
260,2024-04-11,0.003988146781921387,-418.9693017153352,118402.375
261,2024-04-12,-0.01602882146835327,-420.6751646669911,116504.5234375
262,2024-04-15,-0.0041075944900512695,-422.0196060153014,116025.96875
263,2024-04-16,-0.00838613510131836,-422.7862082552093,115052.9609375
264,2024-04-17,0.00029659271240234375,-423.54534706653567,115087.0859375
265,2024-04-18,0.00046074390411376953,-424.31774309118526,115140.1171875
266,2024-04-19,0.006237149238586426,-425.46491352930457,115858.265625
267,2024-04-22,0.012722492218017578,-427.53014710082675,117332.265625
268,2024-04-23,0.008640050888061523,-430.30303110845745,118346.015625
269,2024-04-24,0.00288546085357666,-433.2807545694923,118687.4921875
270,2024-04-25,-0.00820779800415039,-435.46323317445376,117713.328125
271,2024-04-26,0.010170817375183105,-438.478228584285,118910.5625
272,2024-04-29,0.0020716190338134766,-441.63232288215465,119156.90625
273,2024-04-30,-0.01358562707901001,-443.5357361261324,117538.0859375
274,2024-05-01,0.009353876113891602,-446.1490520458105,118637.5234375
275,2024-05-02,0.008067727088928223,-449.45555329256,119594.6640625
276,2024-05-03,0.009027242660522461,-453.59199874048096,120674.2734375
277,2024-05-06,0.005989432334899902,-458.276755506466,121397.0390625
278,2024-05-07,0.0003447532653808594,-462.88185888193175,121438.890625
279,2024-05-08,0.0035970211029052734,-467.7655338100815,121875.703125
280,2024-05-09,0.0106736421585083,-473.7722277363919,123176.5625
281,2024-05-10,-0.0006629824638366699,-479.54315726496026,123094.8984375
282,2024-05-13,0.0025892257690429688,-485.4636856283661,123413.6171875
283,2024-05-14,0.004246830940246582,-491.74328211664164,123937.734375
284,2024-05-15,0.009338021278381348,-499.0360879225889,125095.0703125
285,2024-05-16,0.0016980171203613281,-506.3475632624607,125307.484375
286,2024-05-17,0.0043299198150634766,-514.0154726848926,125850.0625
287,2024-05-20,-0.00675886869430542,-520.6001681398348,124999.4609375
288,2024-05-21,0.005052089691162109,-527.6237071361824,125630.96875
289,2024-05-22,-0.0022931694984436035,-534.1798199835392,125342.875
290,2024-05-23,-0.01525944471359253,-538.8461340182039,123430.2109375
291,2024-05-24,0.004871726036071777,-543.8950955300818,124031.53125
292,2024-05-28,-0.0029421448707580566,-548.5311443778031,123666.609375
293,2024-05-29,-0.006717205047607422,-552.4013378484319,122835.9140625
294,2024-05-30,-0.0016294121742248535,-556.0322003887052,122635.765625
295,2024-05-31,0.013080477714538574,-560.8327391213464,124239.90625
296,2024-06-03,-0.0022662878036499023,-565.3100154349565,123958.34375
297,2024-06-04,-0.00039780139923095703,-569.6394725175171,123909.03125
298,2024-06-05,0.002280592918395996,-574.0935133095369,124191.6171875
299,2024-06-06,-0.00024956464767456055,-578.4268983168447,124160.625
300,2024-06-07,-0.0015617012977600098,-582.516825236341,123966.7265625
301,2024-06-10,-0.0018156766891479492,-586.3515358059528,123741.640625
302,2024-06-11,0.003298163414001465,-590.4023015022514,124149.765625
303,2024-06-12,-0.0011059045791625977,-594.2706689360464,124012.46875
304,2024-06-13,-0.001311182975769043,-597.9392918719522,123849.8671875
305,2024-06-14,-0.0007658600807189941,-601.4651391616322,123755.015625
306,2024-06-17,0.003378629684448242,-605.2093435081015,124173.140625
307,2024-06-18,0.0028281211853027344,-609.1280721575416,124524.3203125
308,2024-06-20,0.005835294723510742,-613.4937227558955,125250.9609375
309,2024-06-21,-0.002367258071899414,-617.5555265650937,124954.4609375
310,2024-06-24,0.012237548828125,-622.6725713274185,126483.59375
311,2024-06-25,-0.0014270544052124023,-627.5509161492726,126303.09375
312,2024-06-26,-0.002001523971557617,-632.1269216578264,126050.296875
313,2024-06-27,0.00090789794921875,-636.6892310138068,126164.734375
314,2024-06-28,-0.0016802549362182617,-641.0038896832325,125952.7421875
315,2024-07-01,0.009380578994750977,-646.0997569536441,127134.2578125
316,2024-07-02,0.0039017200469970703,-651.4769311196825,127630.3046875
317,2024-07-03,0.0014736652374267578,-656.8817668917702,127818.390625
318,2024-07-05,0.003969430923461914,-662.5635744149159,128325.7578125
319,2024-07-08,-0.0015846490859985352,-667.9667142533528,128122.40625
320,2024-07-09,-0.00033974647521972656,-673.2173442026361,128078.875
321,2024-07-10,0.012714982032775879,-679.630431855145,129707.3984375
322,2024-07-11,-0.0058991312980651855,-685.3081375658036,128942.234375
323,2024-07-12,0.0015741586685180664,-691.0071033877603,129145.203125
324,2024-07-15,0.009838700294494629,-697.587497487616,130415.828125
325,2024-07-16,0.006188154220581055,-704.6899560031856,131222.859375
326,2024-07-17,0.006461620330810547,-712.3433272354334,132070.765625
327,2024-07-18,-0.01197439432144165,-718.5381097064451,130489.296875
328,2024-07-19,-0.004292547702789307,-724.1610967386812,129929.1640625
329,2024-07-22,0.0006415843963623047,-729.7299405328152,130012.5234375
330,2024-07-23,-0.0039037466049194336,-734.8224355277963,129504.984375
331,2024-07-24,-0.006361484527587891,-739.2471742571768,128681.140625
332,2024-07-25,0.0009588003158569336,-743.663439249624,128804.5234375
333,2024-07-26,0.010187983512878418,-748.8910350587428,130116.78125
